NAICS Codes,NAICS Industry Description,Size standards in millions of dollars,Size standards in number of employees,Footnotes
111110,,$2.25 ,,
111120,,$2.25 ,,
111130,,$2.75 ,,
111140,,$2.25 ,,
111150,,$2.50 ,,
111160,,$2.50 ,,
111191,,$2.25 ,,
111199,,$2.25 ,,
111211,,$4.25 ,,
111219,,$3.75 ,,
111310,,$4.00 ,,
111320,,$4.25 ,,
111331,,$4.50 ,,
111332,,$4.00 ,,
111333,,$5.50 ,,
111334,,$3.75 ,,
111335,,$3.75 ,,
111336,,$5.00 ,,
111339,,$3.50 ,,
111411,,$4.50 ,,
111419,,$4.50 ,,
111421,,$3.25 ,,
111422,,$3.75 ,,
111910,,$2.50 ,,
111920,,$3.25 ,,
111930,,$5.00 ,,
111940,,$2.50 ,,
111991,,$2.50 ,,
111992,,$2.50 ,,
111998,,$2.50 ,,
112111,,$2.50 ,,
112112,,$22.00 ,,
112120,,$3.75 ,,
112210,,$4.00 ,,
112310,,$19.00 ,,
112320,,$3.50 ,,
112330,,$3.75 ,,
112340,,$4.00 ,,
112390,,$3.75 ,,
112410,,$3.50 ,,
112420,,$2.50 ,,
112511,,$3.75 ,,
112512,,$3.75 ,,
112519,,$3.75 ,,
112910,,$3.25 ,,
112920,,$2.75 ,,
112930,,$3.75 ,,
112990,,$2.75 ,,
113110,,$19.00 ,,
113210,,$20.50 ,,
113310,,,500,
114111,,$25.00 ,,
114112,,$14.00 ,,
114119,,$11.50 ,,
114210,,$8.50 ,,
115111,,$16.00 ,,
115112,,$9.50 ,,
115113,,$13.50 ,,
115114,,$34.00 ,,
115115,,$19.00 ,,
115116,,$15.50 ,,
115210,,$11.00 ,,
115310,,$11.50 ,,
115310 (Exception 1),,$34.00 ,,See footnote 1
115310 (Exception 2),,$34.00 ,,See footnote 1
211120,,,"1,250",
211130,,,"1,250",
212114,,,"1,250",
212115,,,"1,500",
212210,,,"1,400",
212220,,,"1,500",
212230,,,1400,
212290,,,1250,
212311,,,500,
212312,,,750,
212313,,,850,
212319,,,550,
212321,,,500,
212322,,,750,
212323,,,650,
212390,,,600,
213111,,,"1,000",
213112,,$47.00 ,,
213113,,$27.50 ,,
213114,,$41.00 ,,
213115,,$20.50 ,,
221111,,,750,
221112,,,950,
221113,,,"1,150",
221114,,,500,
221115,,,"1,150",
221116,,,250,
221117,,,550,
221118,,,650,
221121,,,950,
221122,,,"1,100",
221210,,,"1,150",
221310,,$41.00 ,,
221320,,$35.00 ,,
221330,,$30.00 ,,
236115,,$45.00 ,,
236116,,$45.00 ,,
236117,,$45.00 ,,
236118,,$45.00 ,,
236210,,$45.00 ,,
236220,,$45.00 ,,
237110,,$45.00 ,,
237120,,$45.00 ,,
237130,,$45.00 ,,
237210,,$34.00 ,,
237310,,$45.00 ,,
237990,,$45.00 ,,
237990 (Exception),,$37.00 ,,See footnote 2
238110,,$19.00 ,,
238120,,$19.00 ,,
238130,,$19.00 ,,
238140,,$19.00 ,,
238150,,$19.00 ,,
238160,,$19.00 ,,
238170,,$19.00 ,,
238190,,$19.00 ,,
238210,,$19.00 ,,
238220,,$19.00 ,,
238290,,$22.00 ,,
238310,,$19.00 ,,
238320,,$19.00 ,,
238330,,$19.00 ,,
238340,,$19.00 ,,
238350,,$19.00 ,,
238390,,$19.00 ,,
238910,,$19.00 ,,
238990,,$19.00 ,,
238990 (Exception),,$19.00 ,,See footnote 13
311111,,,"1,250",
311119,,,650,
311211,,,"1,050",
311212,,,750,
311213,,,500,
311221,,,"1,300",
311224,,,"1,250",
311225,,,"1,100",
311230,,,"1,300",
311313,,,"1,150",
311314,,,"1,050",
311340,,,"1,000",
311351,,,"1,250",
311352,,,"1,000",
311411,,,"1,100",
311412,,,"1,250",
311421,,,"1,000",See footnote 3
311422,,,"1,400",
311423,,,750,
311511,,,"1,150",
311512,,,750,
311513,,,"1,250",
311514,,,"1,000",
311520,,,"1,000",
311611,,,"1,150",
311612,,,"1,000",
311613,,,750,
311615,,,"1,250",
311710,,,750,
311811,,,500,
311812,,,"1,000",
311813,,,750,
311821,,,"1,250",
311824,,,850,
311830,,,"1,250",
311911,,,750,
311919,,,"1,250",
311920,,,"1,000",
311930,,,"1,100",
311941,,,850,
311942,,,650,
311991,,,700,
311999,,,700,
312111,,,"1,400",
312112,,,"1,100",
312113,,,750,
312120,,,"1,250",
312130,,,"1,000",
312140,,,"1,100",
312230,,,"1,500",
313110,,,"1,250",
313210,,,"1,000",
313220,,,550,
313230,,,850,
313240,,,500,
313310,,,"1,000",
313320,,,"1,000",
314110,,,"1,500",
314120,,,750,
314910,,,500,
314994,,,"1,000",
314999,,,550,
315120,,,850,
315210,,,750,
315250,,,750,
315990,,,600,
316110,,,800,
316210,,,"1,000",
316990,,,500,
321113,,,550,
321114,,,550,
321211,,,600,
321212,,,"1,250",
321215,,,500,
321219,,,750,
321911,,,"1,000",
321912,,,500,
321918,,,500,
321920,,,500,
321991,,,"1,250",
321992,,,500,
321999,,,500,
322110,,,"1,050",
322120,,,"1,250",
322130,,,"1,250",
322211,,,"1,250",
322212,,,750,
322219,,,"1,000",
322220,,,750,
322230,,,750,
322291,,,"1,500",
322299,,,500,
323111,,,650,
323113,,,500,
323117,,,"1,250",
323120,,,550,
324110,,,"1,500",See footnote 4
324121,,,500,
324122,,,"1,100",
324191,,,900,
324199,,,950,
325110,,,"1,300",
325120,,,"1,200",
325130,,,"1,050",
325180,,,"1,000",
325193,,,"1,000",
325194,,,"1,250",
325199,,,"1,250",
325211,,,"1,250",
325212,,,"1,000",
325220,,,"1,050",
325311,,,"1,050",
325312,,,"1,350",
325314,,,550,
325315,,,550,
325320,,,"1,150",
325411,,,"1,000",
325412,,,"1,300",
325413,,,"1,250",
325414,,,"1,250",
325510,,,"1,000",
325520,,,550,
325611,,,"1,100",
325612,,,900,
325613,,,"1,100",
325620,,,"1,250",
325910,,,750,
325920,,,750,
325991,,,600,
325992,,,"1,500",
325998,,,650,
326111,,,750,
326112,,,"1,000",
326113,,,750,
326121,,,600,
326122,,,750,
326130,,,650,
326140,,,"1,000",
326150,,,750,
326160,,,"1,250",
326191,,,750,
326199,,,750,
326211,,,"1,500",See footnote 5
326212,,,500,
326220,,,800,
326291,,,750,
326299,,,650,
327110,,,"1,000",
327120,,,750,
327211,,,"1,100",
327212,,,"1,250",
327213,,,"1,250",
327215,,,"1,000",
327310,,,"1,000",
327320,,,500,
327331,,,500,
327332,,,750,
327390,,,500,
327410,,,"1,050",
327420,,,"1,500",
327910,,,900,
327991,,,500,
327992,,,600,
327993,,,"1,500",
327999,,,750,
331110,,,"1,500",
331210,,,"1,000",
331221,,,"1,000",
331222,,,"1,000",
331313,,,"1,300",
331314,,,750,
331315,,,"1,400",
331318,,,750,
331410,,,"1,000",
331420,,,"1,050",
331491,,,900,
331492,,,850,
331511,,,"1,000",
331512,,,"1,050",
331513,,,700,
331523,,,700,
331524,,,550,
331529,,,500,
332111,,,750,
332112,,,950,
332114,,,600,
332117,,,550,
332119,,,500,
332215,,,"1,000",
332216,,,750,
332311,,,750,
332312,,,500,
332313,,,750,
332321,,,750,
332322,,,500,
332323,,,500,
332410,,,750,
332420,,,750,
332431,,,"1,500",
332439,,,600,
332510,,,750,
332613,,,600,
332618,,,500,
332710,,,500,
332721,,,500,
332722,,,600,
332811,,,750,
332812,,,600,
332813,,,500,
332911,,,750,
332912,,,"1,000",
332913,,,"1,000",
332919,,,750,
332991,,,"1,250",
332992,,,"1,300",
332993,,,"1,500",
332994,,,"1,000",
332996,,,550,
332999,,,750,
333111,,,"1,250",
333112,,,"1,500",
333120,,,"1,250",
333131,,,900,
333132,,,"1,250",
333241,,,500,
333242,,,"1,500",
333243,,,550,
333248,,,750,
333310,,,"1,000",
333413,,,500,
333414,,,500,
333415,,,"1,250",
333511,,,500,
333514,,,500,
333515,,,500,
333517,,,500,
333519,,,500,
333611,,,"1,500",
333612,,,750,
333613,,,750,
333618,,,"1,500",
333912,,,"1,000",
333914,,,750,
333921,,,"1,000",
333922,,,500,
333923,,,"1,250",
333924,,,900,
333991,,,950,
333992,,,"1,250",
333993,,,600,
333994,,,500,
333995,,,800,
333996,,,"1,250",
333998,,,700,
334111,,,"1,250",
334112,,,"1,250",
334118,,,"1,000",
334210,,,"1,250",
334220,,,"1,250",
334290,,,800,
334310,,,750,
334412,,,750,
334413,,,"1,250",
334416,,,550,
334417,,,"1,000",
334418,,,750,
334419,,,750,
334510,,,"1,250",
334511,,,"1,350",
334512,,,650,
334513,,,750,
334514,,,850,
334515,,,750,
334516,,,"1,000",
334517,,,"1,200",
334519,,,600,
334610,,,"1,250",
335131,,,750,
335132,,,600,
335139,,,"1,250",
335210,,,"1,500",
335220,,,"1,500",
335311,,,800,
335312,,,"1,250",
335313,,,"1,250",
335314,,,750,
335910,,,"1,250",
335921,,,"1,000",
335929,,,"1,000",
335931,,,600,
335932,,,"1,000",
335991,,,900,
335999,,,600,
336110,,,"1,500",
336120,,,"1,500",
336211,,,"1,000",
336212,,,"1,000",
336213,,,"1,250",
336214,,,"1,000",
336310,,,"1,050",
336320,,,"1,000",
336330,,,"1,000",
336340,,,"1,250",
336350,,,"1,500",
336360,,,"1,500",
336370,,,"1,000",
336390,,,"1,000",
336411,,,"1,500",
336412,,,"1,500",
336413,,,"1,250",See footnote 7
336414,,,"1,300",
336415,,,"1,250",
336419,,,"1,050",
336510,,,"1,500",
336611,,,"1,300",
336612,,,"1,000",
336991,,,"1,050",
336992,,,"1,500",
336999,,,"1,000",
337110,,,750,
337121,,,"1,000",
337122,,,750,
337126,,,950,
337127,,,500,
337211,,,"1,000",
337212,,,500,
337214,,,"1,100",
337215,,,500,
337910,,,"1,000",
337920,,,"1,000",
339112,,,"1,000",
339113,,,800,
339114,,,750,
339115,,,"1,000",
339116,,,500,
339910,,,700,
339920,,,750,
339930,,,700,
339940,,,750,
339950,,,500,
339991,,,600,
339992,,,"1,000",
339993,,,750,
339994,,,750,
339995,,,"1,000",
339999,,,550,
,,,,
423110,,,250,
423120,,,200,
423130,,,200,
423140,,,125,
423210,,,100,
423220,,,100,
423310,,,150,
423320,,,150,
423330,,,225,
423390,,,100,
423410,,,200,
423420,,,200,
423430,,,250,
423440,,,100,
423450,,,200,
423460,,,175,
423490,,,150,
423510,,,200,
423520,,,200,
423610,,,200,
423620,,,225,
423690,,,250,
423710,,,150,
423720,,,200,
423730,,,175,
423740,,,125,
423810,,,250,
423820,,,125,
423830,,,100,
423840,,,125,
423850,,,125,
423860,,,175,
423910,,,100,
423920,,,175,
423930,,,125,
423940,,,125,
423990,,,100,
424110,,,225,
424120,,,150,
424130,,,150,
424210,,,250,
424310,,,100,
424340,,,200,
424350,,,150,
424410,,,250,
424420,,,200,
424430,,,200,
424440,,,150,
424450,,,225,
424460,,,100,
424470,,,150,
424480,,,100,
424490,,,250,
424510,,,200,
424520,,,125,
424590,,,175,
424610,,,150,
424690,,,175,
424710,,,225,
424720,,,200,
424810,,,200,
424820,,,250,
424910,,,200,
424920,,,200,
424930,,,100,
424940,,,250,
424950,,,150,
424990,,,100,
425120,,,125,
,,,,
441110,,,200,
441120,,$30.50 ,,
441210,,$40.00 ,,
441222,,$40.00 ,,
441227,,$40.00 ,,
441330,,$28.50 ,,
441340,,$25.50 ,,
444110,,$47.00 ,,
444120,,$34.00 ,,
444140,,$16.50 ,,
444180,,$25.00 ,,
444230,,$9.50 ,,
444240,,$21.50 ,,
445110,,$40.00 ,,
445131,,$36.50 ,,
445132,,$21.00 ,,
445230,,$9.00 ,,
445240,,$9.00 ,,
445250,,$9.00 ,,
445291,,$16.00 ,,
445292,,$19.50 ,,
445298,,$10.00 ,,
445320,,$10.00 ,,
449110,,$25.00 ,,
449121,,$9.00 ,,
449122,,$11.50 ,,
449129,,$33.50 ,,
449210,,$40.00 ,,
455110,,$40.00 ,,
455211,,$47.00 ,,
455219,,$40.00 ,,
456110,,$37.50 ,,
456120,,$34.00 ,,
456130,,$29.50 ,,
456191,,$22.50 ,,
456199,,$9.50 ,,
457110,,$36.50 ,,
457120,,$33.50 ,,
457210,,,100,
458110,,$47.00 ,,
458210,,$34.00 ,,
458310,,$20.50 ,,
458320,,$38.00 ,,
459110,,$26.50 ,,
459120,,$35.00 ,,
459130,,$34.00 ,,
459140,,$22.50 ,,
459210,,$36.00 ,,
459310,,$9.00 ,,
459410,,$40.00 ,,
459420,,$13.50 ,,
459510,,$14.00 ,,
459910,,$32.00 ,,
459920,,$16.50 ,,
459930,,$19.00 ,,
459991,,$11.50 ,,
459999,,$11.50 ,,
481111,,,"1,500",
481112,,,"1,500",
481211,,,"1,500",
481212,,,"1,500",
481219,,$25.00 ,,
482111,,,"1,500",
482112,,,"1,500",
483111,,,"1,050",
483112,,,"1,500",
483113,,,800,
483114,,,550,
483211,,,"1,050",
483212,,,550,
484110,,$34.00 ,,
484121,,$34.00 ,,
484122,,$43.00 ,,
484210,,$34.00 ,,
484220,,$34.00 ,,
484230,,$34.00 ,,
485111,,$29.00 ,,
485112,,$47.00 ,,
485113,,$32.50 ,,
485119,,$37.50 ,,
485210,,$32.00 ,,
485310,,$19.00 ,,
485320,,$19.00 ,,
485410,,$30.00 ,,
485510,,$19.00 ,,
485991,,$19.00 ,,
485999,,$19.00 ,,
486110,,,"1,500",
486210,,$41.50 ,,
486910,,,"1,500",
486990,,$46.00 ,,
487110,,$20.50 ,,
487210,,$14.00 ,,
487990,,$25.00 ,,
488111,,$40.00 ,,
488119,,$40.00 ,,
488190,,$40.00 ,,
488210,,$34.00 ,,
488310,,$47.00 ,,
488320,,$47.00 ,,
488330,,$47.00 ,,
488390,,$47.00 ,,
488410,,$9.00 ,,
488490,,$18.00 ,,
488510,,$20.00 ,,See footnote 10
488510 (Exception),,$34.00 ,,
488991,,$34.00 ,,
488999,,$25.00 ,,
491110,,$9.00 ,,
492110,,,"1,500",
492210,,$34.00 ,,
493110,,$34.00 ,,
493120,,$36.50 ,,
493130,,$34.00 ,,
493190,,$36.50 ,,
512110,,$40.00 ,,
512120,,$39.00 ,,
512131,,$47.00 ,,
512132,,$12.50 ,,
512191,,$39.00 ,,
512199,,$28.50 ,,
512230,,,900,
512240,,$11.00 ,,
512250,,,900,
512290,,$22.50 ,,
513110,,,"1,000",
513120,,,"1,000",
513130,,,"1,000",
513140,,,"1,000",
513191,,,"1,000",
513199,,,"1,000",
513210,,$47.00 ,,
516110,,$47.00 ,,
516120,,$47.00 ,,
516210,,$47.00 ,,
517111,,,"1,500",
517112,,,"1,500",
517121,,,"1,500",
517122,,,"1,500",
517410,,$44.00 ,,
517810,,$40.00 ,,
518210,,$40.00 ,,
519210,,$21.00 ,,
519290,,,"1,000",
522110,,$850 million in assets,,See footnote 8
522130,,$850 million in assets,,See footnote 8
522180,,$850 million in assets,,See footnote 8
522210,,$850 million in assets,,See footnote 8
522220,,$47.00 ,,
522291,,$47.00 ,,
522292,,$47.00 ,,
522299,,$47.00 ,,
522310,,$15.00 ,,
522320,,$47.00 ,,
522390,,$28.50 ,,
523150,,$47.00 ,,
523160,,$47.00 ,,
523210,,$47.00 ,,
523910,,$47.00 ,,
523940,,$47.00 ,,
523991,,$47.00 ,,
523999,,$47.00 ,,
524113,,$47.00 ,,
524114,,$47.00 ,,
524126,,,"1,500",
524127,,$47.00 ,,
524128,,$47.00 ,,
524130,,$47.00 ,,
524210,,$15.00 ,,
524291,,$25.00 ,,
524292,,$45.50 ,,
524298,,$30.50 ,,
525110,,$40.00 ,,
525120,,$40.00 ,,
525190,,$40.00 ,,
525910,,$40.00 ,,
525920,,$40.00 ,,
525990,,$40.00 ,,
531110,,$34.00 ,,See footnote 9
531110 (Exception),,$47.00 ,,
531120,,$34.00 ,,See footnote 9
531120 (Exception),,$47.00 ,,
531130,,$34.00 ,,See footnote 9
531130 (Exception),,$47.00 ,,
531190,,$34.00 ,,See footnote 9
531190 (Exception),,$47.00 ,,
531210,,$15.00 ,,See footnote 10
531311,,$12.50 ,,
531312,,$19.50 ,,
531320,,$9.50 ,,
531390,,$19.50 ,,
532111,,$47.00 ,,
532112,,$47.00 ,,
532120,,$47.00 ,,
532210,,$47.00 ,,
532281,,$25.00 ,,
532282,,$35.00 ,,
532283,,$41.00 ,,
532284,,$9.00 ,,
532289,,$12.50 ,,
532310,,$9.00 ,,
532411,,$45.50 ,,
532412,,$40.00 ,,
532420,,$40.00 ,,
532490,,$40.00 ,,
533110,,$47.00 ,,
541110,,$15.50 ,,
541191,,$19.50 ,,
541199,,$20.50 ,,
541211,,$26.50 ,,
541213,,$25.00 ,,
541214,,$39.00 ,,
541219,,$25.00 ,,
541310,,$12.50 ,,
541320,,$9.00 ,,
541330,,$25.50 ,,
541330 (Exception 1),,$47.00 ,,
541330 (Exception 2),,$47.00 ,,
541330 (Exception 3),,$47.00 ,,
541340,,$9.00 ,,
541350,,$11.50 ,,
541360,,$28.50 ,,
541370,,$19.00 ,,
541380,,$19.00 ,,
541410,,$9.00 ,,
541420,,$17.00 ,,
541430,,$9.00 ,,
541490,,$13.50 ,,
541511,,$34.00 ,,
541512,,$34.00 ,,
541513,,$37.00 ,,
541519,,$34.00 ,,
541519 (Exception),,,150,See footnote 18
541611,,$24.50 ,,
541612,,$29.00 ,,
541613,,$19.00 ,,
541614,,$20.00 ,,
541618,,$19.00 ,,
541620,,$19.00 ,,
541690,,$19.00 ,,
541713,,,"1,000",See footnote 11
541714,,,"1,000",See footnote 11
541715,,,"1,000",See footnote 11
541715 (Exception 1),,,"1,500",See footnote 11
541715 (Exception 2),,,"1,250",See footnote 11
541715 (Exception 3),,,"1,300",See footnote 11
541720,,$28.00 ,,
541810,,$25.50 ,,See footnote 10
541820,,$19.00 ,,
541830,,$32.50 ,,
541840,,$21.00 ,,
541850,,$34.50 ,,
541860,,$22.00 ,,
541870,,$28.50 ,,
541890,,$19.00 ,,
541910,,$22.50 ,,
541921,,$16.00 ,,
541922,,$9.00 ,,
541930,,$22.50 ,,
541940,,$10.00 ,,
541990,,$19.50 ,,
551111,,$38.50 ,,
551112,,$45.50 ,,
561110,,$12.50 ,,
561210,,$47.00 ,,See footnote 12
561311,,$34.00 ,,
561312,,$34.00 ,,
561320,,$34.00 ,,
561330,,$41.50 ,,
561410,,$19.00 ,,
561421,,$19.00 ,,
561422,,$25.50 ,,
561431,,$19.00 ,,
561439,,$26.50 ,,
561440,,$19.50 ,,
561450,,$41.00 ,,
561491,,$19.00 ,,
561492,,$19.00 ,,
561499,,$21.50 ,,
561510,,$25.00 ,,See footnote 10
561520,,$25.00 ,,See footnote 10
561591,,$25.00 ,,
561599,,$32.50 ,,
561611,,$25.00 ,,
561612,,$29.00 ,,
561613,,$43.00 ,,
561621,,$25.00 ,,
561622,,$25.00 ,,
561710,,$17.50 ,,
561720,,$22.00 ,,
561730,,$9.50 ,,
561740,,$8.50 ,,
561790,,$9.00 ,,
561910,,$19.50 ,,
561920,,$20.00 ,,See footnote 10
561990,,$16.50 ,,
562111,,$47.00 ,,
562112,,$47.00 ,,
562119,,$47.00 ,,
562211,,$47.00 ,,
562212,,$47.00 ,,
562213,,$47.00 ,,
562219,,$47.00 ,,
562910,,$25.00 ,,
562910 (Exception),,,"1,000",See footnote 14
562920,,$25.00 ,,
562991,,$9.00 ,,
562998,,$16.50 ,,
611110,,$20.00 ,,
611210,,$32.50 ,,
611310,,$34.50 ,,
611410,,$20.50 ,,
611420,,$16.00 ,,
611430,,$15.00 ,,
611511,,$13.00 ,,
611512,,$34.00 ,,
611513,,$11.50 ,,
611519,,$21.00 ,,
611519 (Exception),,$47.00 ,,See footnote 16
611610,,$9.00 ,,
611620,,$9.00 ,,
611630,,$20.50 ,,
611691,,$12.50 ,,
611692,,$10.00 ,,
611699,,$16.50 ,,
611710,,$24.00 ,,
621111,,$16.00 ,,
621112,,$13.50 ,,
621210,,$9.00 ,,
621310,,$9.00 ,,
621320,,$9.00 ,,
621330,,$9.00 ,,
621340,,$12.50 ,,
621391,,$9.00 ,,
621399,,$10.00 ,,
621410,,$19.00 ,,
621420,,$19.00 ,,
621491,,$44.50 ,,
621492,,$47.00 ,,
621493,,$19.00 ,,
621498,,$25.50 ,,
621511,,$41.50 ,,
621512,,$19.00 ,,
621610,,$19.00 ,,
621910,,$22.50 ,,
621991,,$40.00 ,,
621999,,$20.50 ,,
622110,,$47.00 ,,
622210,,$47.00 ,,
622310,,$47.00 ,,
623110,,$34.00 ,,
623210,,$19.00 ,,
623220,,$19.00 ,,
623311,,$34.00 ,,
623312,,$23.50 ,,
623990,,$16.00 ,,
624110,,$15.50 ,,
624120,,$15.00 ,,
624190,,$16.00 ,,
624210,,$19.50 ,,
624221,,$13.50 ,,
624229,,$19.00 ,,
624230,,$41.50 ,,
624310,,$15.00 ,,
624410,,$9.50 ,,
711110,,$25.00 ,,
711120,,$18.00 ,,
711130,,$15.00 ,,
711190,,$34.00 ,,
711211,,$47.00 ,,
711212,,$47.00 ,,
711219,,$16.50 ,,
711310,,$40.00 ,,
711320,,$22.00 ,,
711410,,$17.50 ,,
711510,,$9.00 ,,
712110,,$34.00 ,,
712120,,$13.00 ,,
712130,,$34.00 ,,
712190,,$19.50 ,,
713110,,$47.00 ,,
713120,,$9.00 ,,
713210,,$34.00 ,,
713290,,$40.00 ,,
713910,,$19.00 ,,
713920,,$35.00 ,,
713930,,$11.00 ,,
713940,,$17.50 ,,
713950,,$12.50 ,,
713990,,$9.00 ,,
721110,,$40.00 ,,
721120,,$40.00 ,,
721191,,$9.00 ,,
721199,,$9.00 ,,
721211,,$10.00 ,,
721214,,$9.00 ,,
721310,,$14.00 ,,
722310,,$47.00 ,,
722320,,$9.00 ,,
722330,,$9.00 ,,
722410,,$9.00 ,,
722511,,$11.50 ,,
722513,,$13.50 ,,
722514,,$34.00 ,,
722515,,$22.50 ,,
811111,,$9.00 ,,
811114,,$9.00 ,,
811121,,$9.00 ,,
811122,,$17.50 ,,
811191,,$11.00 ,,
811192,,$9.00 ,,
811198,,$10.00 ,,
811210,,$34.00 ,,
811310,,$12.50 ,,
811411,,$9.00 ,,
811412,,$19.00 ,,
811420,,$9.00 ,,
811430,,$9.00 ,,
811490,,$9.00 ,,
812111,,$9.50 ,,
812112,,$9.50 ,,
812113,,$9.00 ,,
812191,,$27.50 ,,
812199,,$9.00 ,,
812210,,$12.50 ,,
812220,,$25.00 ,,
812310,,$13.00 ,,
812320,,$8.00 ,,
812331,,$40.00 ,,
812332,,$47.00 ,,
812910,,$9.00 ,,
812921,,$29.50 ,,
812922,,$19.00 ,,
812930,,$47.00 ,,
812990,,$15.00 ,,
813110,,$13.00 ,,
813211,,$40.00 ,,
813212,,$34.00 ,,
813219,,$47.00 ,,
813311,,$34.00 ,,
813312,,$19.50 ,,
813319,,$18.00 ,,
813410,,$9.50 ,,
813910,,$15.50 ,,
813920,,$23.50 ,,
813930,,$16.50 ,,
813940,,$14.00 ,,
813990,,$13.50 ,,
